"",logFC,AveExpr,t,P.Value,adj.P.Val,B
163_249.221386,0.82719,1.6376e-16,3.0998,0.0078996,0.042319,-2.9492
95_605.38706,-0.63978,8.2434e-16,-3.0838,0.0081536,0.043486,-2.98
26_210.110147,0.8525,1.5682e-16,3.0731,0.0083273,0.044215,-3.0004
1198_156.362178,0.67587,1.9568e-16,3.0709,0.008364,0.044215,-3.0047
951_556.272516,0.7502,3.3307e-16,3.0677,0.0084178,0.044304,-3.0109
876_300.289804,-0.86148,1.2455e-16,-3.0578,0.0085848,0.044986,-3.03
82_517.334718,-0.72224,-1.7972e-16,-3.042,0.0088559,0.046205,-3.0602
96_429.282343,-0.64698,-7.952e-16,-3.0333,0.0090105,0.04667,-3.0769
708_217.143524,0.66444,7.5773e-16,3.0326,0.0090229,0.04667,-3.0783
1005_326.126226,0.78046,4.5658e-16,3.0188,0.0092719,0.047752,-3.1047
1001_495.241182,0.80301,-1.4346e-16,3.0112,0.0094118,0.048266,-3.1192
903_451.215031,0.81917,2.8848e-16,3.002,0.0095851,0.048945,-3.1368
888_267.120396,-0.73359,-8.3267e-18,-2.9947,0.0097244,0.049446,-3.1508
909_123.044177,-0.75031,3.3211e-16,-2.9729,0.010152,0.051405,-3.1925
100_317.283986,0.58039,9.2521e-16,2.9559,0.010498,0.052931,-3.2248
687_385.256148,-0.6296,-3.9274e-16,-2.9485,0.010653,0.053383,-3.239
223_355.214984,-0.7637,3.178e-16,-2.9474,0.010677,0.053383,-3.2411
882_341.266329,-0.62587,1.0165e-15,-2.9366,0.010906,0.054302,-3.2616
278_251.200656,0.65162,-7.6605e-16,2.9335,0.010973,0.054413,-3.2676
887_258.170081,0.87968,-1.4017e-16,2.9296,0.011058,0.054609,-3.275
1184_432.259241,0.64689,-1.1102e-17,2.9174,0.011327,0.055507,-3.2982
72_381.046876,0.90626,2.5813e-16,2.9171,0.011333,0.055507,-3.2987
211_467.240453,-0.70924,-6.6514e-16,-2.9071,0.01156,0.056203,-3.3178
