"",logFC,AveExpr,t,P.Value,adj.P.Val,B
1982_629.824437,-0.45986,8.3267e-18,-1.5314,0.13035,0.41602,-4.8337
1216_449.287424,0.45073,3.5805e-16,1.5267,0.13153,0.41867,-4.8403
2166_599.694374,-0.4556,4.8295e-16,-1.5222,0.13265,0.4207,-4.8466
146_230.175161,0.43523,2.2378e-16,1.5213,0.13287,0.4207,-4.8478
2641_604.231271,-0.45372,5.5511e-18,-1.5164,0.1341,0.42348,-4.8545
783_441.151397,0.46855,3.8858e-16,1.5132,0.13492,0.42496,-4.859
140_320.865613,-0.46821,-1.131e-16,-1.5094,0.13588,0.42686,-4.8642
1191_255.15678,-0.4274,-7.2867e-16,-1.5043,0.13719,0.42889,-4.8712
2337_640.782196,-0.44957,1.6653e-16,-1.5041,0.13724,0.42889,-4.8715
799_557.277413,-0.43445,-4.0801e-16,-1.4985,0.13868,0.43226,-4.8791
1425_603.335686,-0.4464,3.1919e-16,-1.4944,0.13975,0.43447,-4.8847
758_242.211548,-0.42972,-6.2728e-16,-1.49,0.1409,0.4362,-4.8907
661_182.044863,-0.42252,-2.5951e-16,-1.4891,0.14113,0.4362,-4.8918
2649_667.184682,-0.44349,1.8596e-16,-1.4853,0.14214,0.4362,-4.8971
3310_629.426234,-0.4432,6.6336e-16,-1.4849,0.14223,0.4362,-4.8975
3300_719.531794,-0.44293,-6.467e-16,-1.484,0.14248,0.4362,-4.8988
2386_571.920999,-0.44369,1.4988e-16,-1.484,0.14249,0.4362,-4.8988
644_283.154097,-0.42314,-1.1612e-15,-1.4822,0.14295,0.43649,-4.9012
2853_603.944045,-0.44062,6.6613e-16,-1.477,0.14434,0.4396,-4.9082
974_101.435247,0.45398,1.3878e-16,1.4727,0.14551,0.44205,-4.9141
3030_641.728936,-0.43646,-3.3029e-16,-1.4637,0.14793,0.44747,-4.926
745_203.055096,-0.41913,6.7099e-16,-1.4633,0.14804,0.44747,-4.9266
1965_652.350668,-0.43591,-6.7168e-16,-1.46,0.14893,0.44904,-4.9309
1242_692.200413,-0.43432,6.5503e-16,-1.4573,0.14968,0.45017,-4.9346
875_169.085985,-0.41735,-2.1684e-18,-1.4539,0.15064,0.45191,-4.9392
776_122.081211,-0.41195,-2.4494e-16,-1.4488,0.15203,0.45479,-4.9458
1079_493.313623,-0.40696,-2.9421e-16,-1.4477,0.15235,0.45479,-4.9473
3966_796.916496,-0.43044,1.8041e-16,-1.4463,0.15273,0.45479,-4.9491
1462_298.19897,-0.42786,1.6098e-16,-1.4376,0.15518,0.46092,-4.9606
1401_570.2559,-0.43181,3.1641e-16,-1.4355,0.15578,0.46146,-4.9634
2119_668.279809,-0.42634,6.6336e-16,-1.4322,0.15672,0.46146,-4.9677
