"Bucket.label","m.z","Name","Formula","peakid","difkegg","closestkegg","ckeggname","ckeggform","rdif","allkegg","allkeggnames","valid"
"623.2312612450 Da",624.238538,"","C32H39N3O6P2","2769_624.238538",2.07203875499999,"C02166","Leukotriene C4","C30H47N3O9S",0.00331365395800725,"","",FALSE
"668.5385627669 Da",669.545839,"DG_18:0_22:6_4Z,7Z,10Z,13Z,16Z,19Z_0:0_","C43H72O5","2770_669.545839",2.31666276689998,"C01613","Stachyose","C24H42O21",0.00347731404041203,"","",FALSE
"601.7502128965 Da",602.757489,"","C12H3N4O7PS8","2771_602.757489",0.668012896500045,"C20658","O-Acetyl-ADP-ribose","C17H25N5O15P2",0.00111135032196935,"","",FALSE
"574.7331161566 Da",575.740393,"","","2772_575.740393",0.439483843400012,"C14855","4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene","C30H29N3O7S",0.000764090367656617,"C14855|C14856|C09332","4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene|7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene|THF-L-glutamate",FALSE
"745.0099342832 Da",746.017211,"","C25H20N3O20PS","2773_746.017211",0.0573657168000636,"C13051","Nicotinic acid adenine dinucleotide phosphate","C21H28N6O18P3",7.69940068502049e-05,"C13051","Nicotinic acid adenine dinucleotide phosphate",FALSE
"688.5586753226 Da",689.565952,"","C35H68N12O2","2774_689.565952",1.40977532260001,"C00882","Dephospho-CoA","C21H35N7O13P2S",0.00205163003622652,"","",FALSE
"656.4399681977 Da",657.447245,"","C38H60N2O7","2775_657.447245",2.17096819769995,"C05770","Coproporphyrin III","C36H38N4O8",0.0033181584297895,"","",FALSE
"543.9648644943 Da",544.972141,"","C20H10N4O9P2S","2776_544.972141",2.90376449429993,"C13050","Cyclic ADP-ribose","C15H21N5O13P2",0.00536679590216324,"","",FALSE
"887.2931012803 Da",888.300378,"","C47H54NO10PS2","2777_888.300378",3.91089871969996,"C05276","trans-Oct-2-enoyl-CoA","C29H48N7O17P3S",0.00438833164988034,"","",FALSE
"888.0506205799 Da",889.057897,"","C35H32N6O10S6","2778_889.057897",3.1533794200999,"C05276","trans-Oct-2-enoyl-CoA","C29H48N7O17P3S",0.00353833625084705,"","",FALSE
"655.5458376829 Da",656.553114,"","","2779_656.553114",1.27683768290001,"C05770","Coproporphyrin III","C36H38N4O8",0.00195154849595504,"","",FALSE
"625.5184216291 Da",626.525698,"","C39H67N3O3","2780_626.525698",0.21512162909994,"C02166","Leukotriene C4","C30H47N3O9S",0.000344027656818603,"C02166","Leukotriene C4",FALSE
"574.9343308712 Da",575.941607,"","C21H13N5O3S6","2781_575.941607",0.238269128799971,"C14855","4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene","C30H29N3O7S",0.000414256744497166,"C14855|C14856","4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene|7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzo[a]pyrene",FALSE
"681.0901355232 Da",682.097412,"","C15H19N15O15S","2782_682.097412",6.05876447679998,"C00882","Dephospho-CoA","C21H35N7O13P2S",0.00881725121993207,"","",FALSE
"744.8839439192 Da",745.89122,"","C27H15N5O5S8","2783_745.89122",0.183356080800081,"C13051","Nicotinic acid adenine dinucleotide phosphate","C21H28N6O18P3",0.000246093313718212,"C13051","Nicotinic acid adenine dinucleotide phosphate",TRUE
